data,produto,categoria,regiao,vendedor,quantidade,preco_unitario,total
2025-01-02,Mesa,Moveis,Nordeste,Carla,5,489.08,2445.4
2025-01-03,Webcam,Acessorios,Norte,Bruno,3,184.02,552.06
2025-01-04,Monitor,Eletronicos,Sul,Carla,1,881.15,881.15
2025-01-04,Webcam,Acessorios,Norte,Elaine,1,206.37,206.37
2025-01-05,Teclado,Acessorios,Sudeste,Carla,8,152.81,1222.48
2025-01-08,Mesa,Moveis,Nordeste,Elaine,7,413.13,2891.91
2025-01-09,Headset,Acessorios,Nordeste,Ana,5,274.05,1370.25
2025-01-09,Notebook,Eletronicos,Sul,Elaine,6,3275.55,19653.3
2025-01-10,Webcam,Acessorios,Nordeste,Bruno,2,204.61,409.22
2025-01-12,Notebook,Eletronicos,Nordeste,Ana,2,3717.13,7434.26
2025-01-13,Mouse,Acessorios,Norte,Elaine,8,82.8,662.4
2025-01-15,Mesa,Moveis,Sudeste,Ana,1,480.83,480.83
2025-01-16,Headset,Acessorios,Nordeste,Diego,6,273.45,1640.7
2025-01-17,Cadeira,Moveis,Centro-Oeste,Elaine,2,656.39,1312.78
2025-01-18,Notebook,Eletronicos,Sul,Ana,8,3249.95,25999.6
2025-01-21,Mouse,Acessorios,Sudeste,Diego,4,72.22,288.88
2025-01-22,Cadeira,Moveis,Nordeste,Carla,4,658.22,2632.88
2025-01-24,Mesa,Moveis,Sul,Carla,2,456.96,913.92
2025-01-24,Teclado,Acessorios,Nordeste,Ana,1,155.82,155.82
2025-01-24,Webcam,Acessorios,Sudeste,Diego,1,211.53,211.53
2025-01-25,Monitor,Eletronicos,Sudeste,Carla,6,848.73,5092.38
2025-01-26,Mouse,Acessorios,Norte,Ana,2,79.09,158.18
2025-01-26,Notebook,Eletronicos,Norte,Diego,1,3673.58,3673.58
2025-01-26,Teclado,Acessorios,Norte,Bruno,8,159.12,1272.96
2025-01-26,Mouse,Acessorios,Nordeste,Bruno,1,82.6,82.6
2025-01-27,Mesa,Moveis,Nordeste,Elaine,7,483.62,3385.34
2025-01-27,Webcam,Acessorios,Norte,Diego,4,190.62,762.48
2025-01-29,Webcam,Acessorios,Centro-Oeste,Bruno,8,183.64,1469.12
2025-01-29,Webcam,Acessorios,Sul,Elaine,4,189.37,757.48
2025-01-29,Headset,Acessorios,Sudeste,Bruno,8,243.96,1951.68
2025-01-31,Webcam,Acessorios,Sul,Diego,7,188.55,1319.85
2025-02-01,Mesa,Moveis,Sul,Diego,7,453.84,3176.88
2025-02-01,Mesa,Moveis,Centro-Oeste,Ana,3,459.45,1378.35
2025-02-02,Headset,Acessorios,Centro-Oeste,Diego,4,259.7,1038.8
2025-02-02,Teclado,Acessorios,Centro-Oeste,Diego,2,157.25,314.5
2025-02-02,Webcam,Acessorios,Centro-Oeste,Ana,3,205.27,615.81
2025-02-03,Notebook,Eletronicos,Nordeste,Ana,6,3702.46,22214.76
2025-02-05,Cadeira,Moveis,Sul,Carla,6,648.54,3891.24
2025-02-05,Teclado,Acessorios,Nordeste,Diego,3,146.51,439.53
2025-02-05,Teclado,Acessorios,Norte,Bruno,4,158.61,634.44
2025-02-05,Teclado,Acessorios,Sul,Ana,7,161.1,1127.7
2025-02-06,Monitor,Eletronicos,Centro-Oeste,Ana,6,900.05,5400.3
2025-02-07,Notebook,Eletronicos,Norte,Bruno,2,3470.8,6941.6
2025-02-07,Webcam,Acessorios,Centro-Oeste,Carla,3,216.05,648.15
